,reinas,pasos,tiempo
0,4,2,0.00015401840209960938
1,4,3,0.0006031990051269531
2,4,3,0.0004837512969970703
3,4,4,0.0005686283111572266
4,4,7,0.0011706352233886719
5,4,5,0.0008153915405273438
6,4,4,0.0006549358367919922
7,4,4,0.0006506443023681641
8,4,4,0.0006144046783447266
9,4,6,0.001035928726196289
10,4,5,0.0009467601776123047
11,4,4,0.0006139278411865234
12,4,7,0.0014526844024658203
13,4,7,0.0011827945709228516
14,4,2,0.00020742416381835938
15,4,7,0.0011565685272216797
16,4,3,0.000396728515625
17,4,3,0.00041556358337402344
18,4,3,0.0004000663757324219
19,4,4,0.0005884170532226562
20,4,5,0.0007810592651367188
21,4,5,0.0007762908935546875
22,4,6,0.0009715557098388672
23,4,9,0.0015549659729003906
24,4,4,0.0005960464477539062
25,4,6,0.0009653568267822266
26,4,2,0.00020742416381835938
27,4,5,0.0008192062377929688
28,4,4,0.0005886554718017578
29,4,4,0.0005860328674316406
30,8,8,0.013001441955566406
31,8,7,0.01141810417175293
32,8,9,0.014276742935180664
33,8,29,0.04924488067626953
34,8,34,0.05880117416381836
35,8,166,0.3050558567047119
36,8,9,0.014327764511108398
37,8,559,0.9924468994140625
38,8,7,0.010617494583129883
39,8,26,0.043851375579833984
40,8,6,0.008824586868286133
41,8,33,0.05623173713684082
42,8,9,0.014193296432495117
43,8,24,0.04099011421203613
44,8,32,0.05513906478881836
45,8,10,0.01849842071533203
46,8,5,0.008014678955078125
47,8,45,0.07998228073120117
48,8,8,0.012345314025878906
49,8,82,0.14278388023376465
50,8,6,0.008903980255126953
51,8,6,0.008836030960083008
52,8,7,0.010553359985351562
53,8,7,0.010571718215942383
54,8,66,0.11516284942626953
55,8,56,0.09662222862243652
56,8,33,0.05766749382019043
57,8,8,0.012715339660644531
58,8,16,0.02683734893798828
59,8,9,0.0141448974609375
60,10,40,0.18135762214660645
61,10,12,0.04483509063720703
62,10,21,0.08057594299316406
63,10,60,0.23973965644836426
64,10,93,0.3719642162322998
65,10,11,0.04030108451843262
66,10,22,0.08524060249328613
67,10,40,0.16005373001098633
68,10,116,0.46593189239501953
69,10,52,0.20572900772094727
70,10,444,1.834329605102539
71,10,46,0.21642661094665527
72,10,11,0.0485081672668457
73,10,9,0.03830862045288086
74,10,33,0.15652704238891602
75,10,100,0.46587109565734863
76,10,7,0.024334430694580078
77,10,486,1.9605345726013184
78,10,14,0.052999258041381836
79,10,264,1.070180892944336
80,10,9,0.03285098075866699
81,10,29,0.11297869682312012
82,10,11,0.04076671600341797
83,10,9,0.03223848342895508
84,10,51,0.20407342910766602
85,10,21,0.08080482482910156
86,10,18,0.06839466094970703
87,10,16,0.06096911430358887
88,10,42,0.1659374237060547
89,12,142,1.1923832893371582
90,12,38,0.3739967346191406
91,12,13,0.11091470718383789
92,12,15,0.11754965782165527
93,12,60,0.48648810386657715
94,12,34,0.2689220905303955
95,12,113,0.9156453609466553
96,12,21,0.16315817832946777
97,12,9,0.06540274620056152
98,12,29,0.22826004028320312
99,12,82,0.6628320217132568
100,12,23,0.17934703826904297
101,12,89,0.7211465835571289
102,12,26,0.20373272895812988
103,12,11,0.08174848556518555
104,12,95,0.765233039855957
105,12,8,0.05682802200317383
106,12,21,0.16247963905334473
107,12,34,0.26858997344970703
108,12,25,0.19619250297546387
109,12,36,0.28472042083740234
110,12,24,0.18678760528564453
111,12,23,0.17928409576416016
112,12,34,0.26854872703552246
113,12,35,0.2769947052001953
114,12,10,0.07366728782653809
115,12,39,0.30895113945007324
116,12,26,0.20473504066467285
117,12,25,0.1957111358642578
118,15,56,1.0531978607177734
119,15,58,1.0861055850982666
120,15,20,0.36288976669311523
121,15,28,0.5125436782836914
122,15,14,0.24727439880371094
123,15,21,0.3805077075958252
124,15,24,0.43840718269348145
125,15,33,0.6080389022827148
126,15,33,0.6087205410003662
127,15,17,0.3029661178588867
128,15,95,1.789259672164917
129,15,103,1.9350907802581787
130,15,43,0.7969298362731934
131,15,49,0.9107072353363037
132,15,62,1.1617767810821533
133,15,49,0.9143211841583252
134,15,29,0.5332715511322021
135,15,40,0.7401020526885986
136,15,18,0.32677483558654785
137,15,47,0.8751339912414551
138,15,46,0.8582127094268799
139,15,65,1.2183201313018799
140,15,21,0.3804187774658203
141,15,38,0.7042036056518555
142,15,73,1.3721582889556885
143,15,29,0.5343520641326904
144,15,20,0.36498117446899414
145,15,38,0.7102713584899902
146,15,22,0.4033524990081787
